intersection_id,index
176275195,0
177273181,1
178273039,2
179265069,3
179265077,4
179274126,5
180271045,6
180271187,7
181263098,8
181265038,9
181271108,10
181272016,11
181273107,12
181277036,13
182268014,14
182270019,15
182272213,16
182274179,17
183263018,18
183263020,19
183264037,20
183268031,21
183268167,22
183272020,23
183277002,24
183278091,25
184263029,26
184267042,27
184268129,28
184273056,29
184273072,30
185273145,31
185274084,32
185274093,33
185276028,34
185277012,35
186273103,36
186274160,37
186275023,38
186275043,39
186275130,40
186279088,41
187263039,42
187265053,43
187270060,44
187271099,45
187274156,46
188266127,47
188269140,48
188274022,49
188274050,50
188278029,51
189267114,52
189275160,53
189276040,54
190264011,55
190267091,56
190273120,57
191269022,58
191272052,59
191275054,60
192266023,61
194264006,62
600097669,63
600111024,64
600409842,65
600483010,66
600488624,67
