intersection_id,index,bt_param_ilsr,bt_param_opt
176275195,0,-2.399854260384747,-2.8458173294349463
177273181,1,-1.0043327559573316,-2.24023594576979
178273039,2,-1.8810738773536195,-2.7187212229391347
179265069,3,0.3671465193774176,0.0
179265077,4,-0.9121120944046963,-0.646889326485137
179274126,5,-1.2780392736811843,-4.120450595493077
180271045,6,0.5696996873877324,3.5032738153035194
180271187,7,-2.324008071371215,-5.969819057253475
181263098,8,-1.6183506339320461,-4.73255806316348
181265038,9,-0.7390069741624858,-1.730335883123626
181271108,10,-2.7039969307245126,-5.311613771616535
181272016,11,-0.4087863539838358,-0.8088245528649904
181273107,12,0.24994012538874955,1.7347095409180342
181277036,13,-1.1557537667787257,-2.4178068509197894
182268014,14,0.7015522634196529,1.6623610738802053
182270019,15,-1.0614398606190267,-1.7101091158703587
182272213,16,0.3631893083858158,-0.6152490084527492
182274179,17,-0.13002872859431014,-1.2868127671508367
183263018,18,0.7204342878393941,2.1214960262529634
183263020,19,-0.9006199438006686,-1.2558282547848032
183264037,20,0.7538263368926321,2.4348197382022847
183268031,21,-0.36970031108825485,-1.3028749585141872
183268167,22,-1.343227035511845,-3.0309644717629225
183272020,23,-0.30556659558171584,-0.9733205230942108
183277002,24,-0.39145503012936966,0.4345462354470872
183278091,25,0.27740212588658114,-0.15312835893205914
184263029,26,0.7538263368926321,2.4348197382022847
184267042,27,-0.08150199595253899,-0.532462184261521
184268129,28,0.7015522634196525,1.6623610738802053
184273056,29,-1.4971168844857257,-4.325877376950881
184273072,30,-0.5885660933609975,-1.2295445178307025
185273145,31,0.5610992354976523,1.2300326141808327
185274084,32,0.3671465193774175,0.0
185274093,33,-0.08150199595253899,-0.532462184261521
185276028,34,0.7204342878393942,2.1214960262529634
185277012,35,0.5759041567743817,1.4797013405370005
186273103,36,-1.0043327559573316,-2.24023594576979
186274160,37,-0.9356303491871105,-3.0864536155347784
186275023,38,0.9091983766124665,2.614122652053154
186275043,39,0.9246278347842083,2.24023594576979
186275130,40,-0.8367233121958519,-1.721732707704434
186279088,41,0.9246278347842078,2.24023594576979
187263039,42,0.7106290721718893,1.918443523567979
187265053,43,0.8139696181709055,1.9968055712140718
187270060,44,0.78878724503712,2.1078580278672296
187271099,45,0.6109662523051718,1.8357989479169317
187274156,46,-0.5101735800049193,-3.4297421449558274
188266127,47,0.1381055048579765,-1.284638185360414
188269140,48,0.86803253199514,3.695067160857091
188274022,49,0.7887872450371205,2.1078580278672296
188274050,50,0.13810550485797665,-1.284638185360414
188278029,51,1.125545563486682,3.158863984958108
189267114,52,0.8542741172065601,1.2792438335718825
189275160,53,0.8224676322246238,2.4533371521150418
189276040,54,-0.33007980599918185,-1.3852267562084262
190264011,55,0.5759041567743814,1.4797013405370005
190267091,56,0.7015522634196527,1.6623610738802053
190273120,57,0.8849229763451684,-0.09195642512254215
191269022,58,1.165260916309055,3.024607666218621
191272052,59,-0.2851155617824056,-1.5775864054295976
191275054,60,-0.2851155617824056,-1.5775864054295976
192266023,61,1.0998644029598132,4.26166509517598
194264006,62,0.953093290322793,2.946893490002445
600097669,63,0.7144792477550763,-0.31260477204170406
600111024,64,0.44136581604648106,-0.12752856870070764
600409842,65,-0.408786353983836,-0.8088245528649904
600483010,66,1.8836251396556007,4.697613802356424
600488624,67,1.250650751205257,2.880130526657643
