intersection_id,leg_bearing,photo_filename,photo_dist_m,u_deg,photo_x,photo_y,photo_bearing_to_inter,candidate_rank,is_panorama,selected_direction,photo_filepath,filepath_front,filepath_right,filepath_back,filepath_left,requires_stitch,stitch_left_filepath,stitch_right_filepath,stitch_inter_col_frac,neighbor_jte_id,WVK_ID,intensity_wvk,dim_type,dim_risk,dim_priority,dim_speed,is_centrum,direction_patched,quality_patched
185278048,272.6,12_07726,19.6,-89.5,92764.836,439487.675,270.5,1,False,front,88196bb0bbfffff/89196bb0ba3ffff/8a196bb0ba07fff/12_07726_front.jpg,88196bb0bbfffff/89196bb0ba3ffff/8a196bb0ba07fff/12_07726_front.jpg,88196bb0bbfffff/89196bb0ba3ffff/8a196bb0ba07fff/12_07726_right.jpg,88196bb0bbfffff/89196bb0ba3ffff/8a196bb0ba07fff/12_07726_back.jpg,88196bb0bbfffff/89196bb0ba3ffff/8a196bb0ba07fff/12_07726_left.jpg,True,88196bb0bbfffff/89196bb0ba3ffff/8a196bb0ba07fff/12_07726_left.jpg,88196bb0bbfffff/89196bb0ba3ffff/8a196bb0ba07fff/12_07726_front.jpg,0.9927,185278029,185278020,150.0,T,_,geen_voorrang,_,False,False,False
185279011,250.8,99_02028,25.2,-108.2,93015.122,439543.938,251.8,1,False,front,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb57fff/99_02028_front.jpg,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb57fff/99_02028_front.jpg,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb57fff/99_02028_right.jpg,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb57fff/99_02028_back.jpg,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb57fff/99_02028_left.jpg,True,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb57fff/99_02028_left.jpg,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb57fff/99_02028_front.jpg,0.9335,186279089,600264940,4550.0,4+,_,VRI,_,False,False,False
186263018,265.0,397_00413,18.3,-93.6,93148.876,431826.457,266.4,1,False,front,88196ba2d1fffff/89196ba2d07ffff/8a196ba2d06ffff/397_00413_front.jpg,88196ba2d1fffff/89196ba2d07ffff/8a196ba2d06ffff/397_00413_front.jpg,88196ba2d1fffff/89196ba2d07ffff/8a196ba2d06ffff/397_00413_right.jpg,88196ba2d1fffff/89196ba2d07ffff/8a196ba2d06ffff/397_00413_back.jpg,88196ba2d1fffff/89196ba2d07ffff/8a196ba2d06ffff/397_00413_left.jpg,True,88196ba2d1fffff/89196ba2d07ffff/8a196ba2d06ffff/397_00413_front.jpg,88196ba2d1fffff/89196ba2d07ffff/8a196ba2d06ffff/397_00413_right.jpg,0.516,186263017,186263008,800.0,T,_,geen_voorrang,_,False,True,False
186263044,186.3,396_03089,18.0,-177.4,93502.27,431874.524,182.6,1,False,front,88196ba2dbfffff/89196ba2da3ffff/8a196ba2da1ffff/396_03089_front.jpg,88196ba2dbfffff/89196ba2da3ffff/8a196ba2da1ffff/396_03089_front.jpg,88196ba2dbfffff/89196ba2da3ffff/8a196ba2da1ffff/396_03089_right.jpg,88196ba2dbfffff/89196ba2da3ffff/8a196ba2da1ffff/396_03089_back.jpg,88196ba2dbfffff/89196ba2da3ffff/8a196ba2da1ffff/396_03089_left.jpg,True,88196ba2dbfffff/89196ba2da3ffff/8a196ba2da1ffff/396_03089_left.jpg,88196ba2dbfffff/89196ba2da3ffff/8a196ba2da1ffff/396_03089_front.jpg,0.9782,187263033,187263027,9950.0,4+,_,voorrang,_,False,False,False
186264003,256.6,395_00138,21.6,-117.4,93454.685,432071.943,242.6,1,False,front,88196ba2dbfffff/89196ba2dbbffff/8a196ba2db8ffff/395_00138_front.jpg,88196ba2dbfffff/89196ba2dbbffff/8a196ba2db8ffff/395_00138_front.jpg,88196ba2dbfffff/89196ba2dbbffff/8a196ba2db8ffff/395_00138_right.jpg,88196ba2dbfffff/89196ba2dbbffff/8a196ba2db8ffff/395_00138_back.jpg,88196ba2dbfffff/89196ba2dbbffff/8a196ba2db8ffff/395_00138_left.jpg,True,88196ba2dbfffff/89196ba2dbbffff/8a196ba2db8ffff/395_00138_left.jpg,88196ba2dbfffff/89196ba2dbbffff/8a196ba2db8ffff/395_00138_front.jpg,0.8941,600177060,600956025,6300.0,4+,_,voorrang,_,False,True,False
186264013,84.2,396_05274,19.3,82.8,93217.568,432312.787,82.8,1,False,front,88196ba2d1fffff/89196ba2d8fffff/8a196ba2d167fff/396_05274_front.jpg,88196ba2d1fffff/89196ba2d8fffff/8a196ba2d167fff/396_05274_front.jpg,88196ba2d1fffff/89196ba2d8fffff/8a196ba2d167fff/396_05274_right.jpg,88196ba2d1fffff/89196ba2d8fffff/8a196ba2d167fff/396_05274_back.jpg,88196ba2d1fffff/89196ba2d8fffff/8a196ba2d167fff/396_05274_left.jpg,True,88196ba2d1fffff/89196ba2d8fffff/8a196ba2d167fff/396_05274_left.jpg,88196ba2d1fffff/89196ba2d8fffff/8a196ba2d167fff/396_05274_front.jpg,0.9806,186264011,186264029,200.0,T,_,geen_voorrang,_,False,False,False
186264019,275.9,396_04924,20.5,-86.3,93490.229,432425.668,273.7,1,False,front,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d85ffff/396_04924_front.jpg,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d85ffff/396_04924_front.jpg,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d85ffff/396_04924_right.jpg,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d85ffff/396_04924_back.jpg,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d85ffff/396_04924_left.jpg,True,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d85ffff/396_04924_left.jpg,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d85ffff/396_04924_front.jpg,0.9832,187264009,186264060,850.0,4+,_,geen_voorrang,_,False,False,False
186266107,7.5,390_01468,25.6,6.7,93228.206,433253.252,6.7,1,False,left,88196bb537fffff/89196bb5367ffff/8a196bb5365ffff/390_01468_left.jpg,88196bb537fffff/89196bb5367ffff/8a196bb5365ffff/390_01468_front.jpg,88196bb537fffff/89196bb5367ffff/8a196bb5365ffff/390_01468_right.jpg,88196bb537fffff/89196bb5367ffff/8a196bb5365ffff/390_01468_back.jpg,88196bb537fffff/89196bb5367ffff/8a196bb5365ffff/390_01468_left.jpg,True,88196bb537fffff/89196bb5367ffff/8a196bb5365ffff/390_01468_left.jpg,88196bb537fffff/89196bb5367ffff/8a196bb5365ffff/390_01468_front.jpg,0.5591,600413904,601087489,850.0,4+,_,voorrang,_,False,False,True
186267025,140.3,418_00824,21.7,136.4,93480.089,433583.81,136.4,1,False,front,88196bb537fffff/89196bb5377ffff/8a196bb53747fff/418_00824_front.jpg,88196bb537fffff/89196bb5377ffff/8a196bb53747fff/418_00824_front.jpg,88196bb537fffff/89196bb5377ffff/8a196bb53747fff/418_00824_right.jpg,88196bb537fffff/89196bb5377ffff/8a196bb53747fff/418_00824_back.jpg,88196bb537fffff/89196bb5377ffff/8a196bb53747fff/418_00824_left.jpg,True,88196bb537fffff/89196bb5377ffff/8a196bb53747fff/418_00824_left.jpg,88196bb537fffff/89196bb5377ffff/8a196bb53747fff/418_00824_front.jpg,0.9926,600177113,600728984,950.0,4+,_,geen_voorrang,_,False,False,False
186267064,298.0,408_01694,21.4,-63.2,93329.522,433856.747,296.8,1,False,front,88196bb537fffff/89196bb5373ffff/8a196bb53707fff/408_01694_front.jpg,88196bb537fffff/89196bb5373ffff/8a196bb53707fff/408_01694_front.jpg,88196bb537fffff/89196bb5373ffff/8a196bb53707fff/408_01694_right.jpg,88196bb537fffff/89196bb5373ffff/8a196bb53707fff/408_01694_back.jpg,88196bb537fffff/89196bb5373ffff/8a196bb53707fff/408_01694_left.jpg,True,88196bb537fffff/89196bb5373ffff/8a196bb53707fff/408_01694_front.jpg,88196bb537fffff/89196bb5373ffff/8a196bb53707fff/408_01694_right.jpg,0.5112,186267066,186267028,1850.0,T,_,geen_voorrang,_,False,False,False
