intersection_id,leg_bearing,photo_filename,photo_dist_m,u_deg,photo_x,photo_y,photo_bearing_to_inter,candidate_rank,is_panorama,selected_direction,photo_filepath,filepath_front,filepath_right,filepath_back,filepath_left,requires_stitch,stitch_left_filepath,stitch_right_filepath,stitch_inter_col_frac,neighbor_jte_id,WVK_ID,intensity_wvk,ideal_dist_m,all_back,used_fallback
192266029,152.4,434_02129,19.9,150.9,96186.262,433047.74,150.9,1,False,back,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c487fff/434_02129_back.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c487fff/434_02129_front.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c487fff/434_02129_right.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c487fff/434_02129_back.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c487fff/434_02129_left.jpg,False,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c487fff/434_02175_back.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c487fff/434_02175_left.jpg,0.5177,192266028,192266035,350.0,20.0,True,False
192266032,228.0,434_01925,19.2,-132.7,96335.225,433118.094,227.3,1,False,front,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c4affff/434_01925_front.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c4affff/434_01925_front.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c4affff/434_01925_right.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c4affff/434_01925_back.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c4affff/434_01925_left.jpg,False,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c4affff/434_01932_back.jpg,88196bb5c5fffff/89196bb5c4bffff/8a196bb5c4affff/434_01932_left.jpg,0.5147,192266041,192266024,1100.0,20.0,False,False
192266034,228.4,434_01858,19.3,-137.4,96423.822,433199.888,222.6,1,False,front,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c417fff/434_01858_front.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c417fff/434_01858_front.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c417fff/434_01858_right.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c417fff/434_01858_back.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c417fff/434_01858_left.jpg,True,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c417fff/434_01858_left.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c417fff/434_01858_front.jpg,0.9942,600384444,601016875,1250.0,20.0,False,False
192266035,318.4,434_01302,20.1,-49.1,96478.474,433218.826,310.9,1,False,front,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c437fff/434_01302_front.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c437fff/434_01302_front.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c437fff/434_01302_right.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c437fff/434_01302_back.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c437fff/434_01302_left.jpg,True,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c437fff/434_01302_left.jpg,88196bb5c5fffff/89196bb5c43ffff/8a196bb5c437fff/434_01302_front.jpg,0.9464,193266040,192266044,8150.0,20.0,False,False
192266048,318.3,434_02262,20.3,-45.1,96385.513,433320.571,314.9,1,False,front,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c58ffff/434_02262_front.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c58ffff/434_02262_front.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c58ffff/434_02262_right.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c58ffff/434_02262_back.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c58ffff/434_02262_left.jpg,True,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c58ffff/434_02262_left.jpg,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c58ffff/434_02262_front.jpg,0.9817,192266042,192266040,7700.0,20.0,False,False
192266056,147.6,431_03307,18.8,152.0,96088.561,433405.429,152.0,1,False,front,88196bb5e9fffff/89196bb5e97ffff/8a196bb5e967fff/431_03307_front.jpg,88196bb5e9fffff/89196bb5e97ffff/8a196bb5e967fff/431_03307_front.jpg,88196bb5e9fffff/89196bb5e97ffff/8a196bb5e967fff/431_03307_right.jpg,88196bb5e9fffff/89196bb5e97ffff/8a196bb5e967fff/431_03307_back.jpg,88196bb5e9fffff/89196bb5e97ffff/8a196bb5e967fff/431_03307_left.jpg,False,88196bb5e9fffff/89196bb5e97ffff/8a196bb5e967fff/431_03321_right.jpg,88196bb5e9fffff/89196bb5e97ffff/8a196bb5e967fff/431_03321_back.jpg,0.9811,192266055,192266049,250.0,20.0,False,False
192267005,281.5,442_01847,20.1,-79.3,96480.081,433924.271,280.7,1,False,front,88196bb513fffff/89196bb5137ffff/8a196bb5135ffff/442_01847_front.jpg,88196bb513fffff/89196bb5137ffff/8a196bb5135ffff/442_01847_front.jpg,88196bb513fffff/89196bb5137ffff/8a196bb5135ffff/442_01847_right.jpg,88196bb513fffff/89196bb5137ffff/8a196bb5135ffff/442_01847_back.jpg,88196bb513fffff/89196bb5137ffff/8a196bb5135ffff/442_01847_left.jpg,True,88196bb513fffff/89196bb5137ffff/8a196bb5135ffff/442_01847_left.jpg,88196bb513fffff/89196bb5137ffff/8a196bb5135ffff/442_01847_front.jpg,0.9901,600282235,601016755,200.0,20.0,False,False
192267009,107.5,435_02147,21.4,104.9,96348.897,433900.838,104.9,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb5122ffff/435_02147_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5122ffff/435_02147_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5122ffff/435_02147_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5122ffff/435_02147_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5122ffff/435_02147_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb5122ffff/435_02147_left.jpg,88196bb513fffff/89196bb5123ffff/8a196bb5122ffff/435_02147_front.jpg,0.9889,192267013,192267037,350.0,20.0,False,False
192267013,197.5,435_02063,21.2,-161.6,96319.595,433933.344,198.4,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_02063_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_02063_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_02063_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_02063_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_02063_left.jpg,True,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_02063_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_02063_right.jpg,0.5078,192268012,192267020,2550.0,20.0,False,False
192267015,347.8,435_00593,18.1,-13.0,96243.34,433915.791,347.0,1,False,front,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00593_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00593_front.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00593_right.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00593_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00593_left.jpg,False,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00988_back.jpg,88196bb513fffff/89196bb5123ffff/8a196bb51207fff/435_00988_left.jpg,0.5481,192267017,192267030,200.0,20.0,False,False
