task_id,set_id,alt1_att1_streetview,alt1_att2_intensiteit,alt2_att1_streetview,alt2_att2_intensiteit
71,2,/assets/images/176275195.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
72,2,/assets/images/178273039.jpeg,Laag,/assets/images/183263020.jpeg,Middelmatig
73,3,/assets/images/181263098.jpeg,Hoog,/assets/images/186273081.jpeg,Hoog
74,3,/assets/images/190266032.jpeg,Hoog,/assets/images/600488624.jpeg,Hoog
75,3,/assets/images/182274018.jpeg,Laag,/assets/images/600483010.jpeg,Laag
76,3,/assets/images/176275195.jpeg,Hoog,/assets/images/191269022.jpeg,Hoog
77,3,/assets/images/183277002.jpeg,Middelmatig,/assets/images/188269140.jpeg,Middelmatig
78,3,/assets/images/182270019.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
79,3,/assets/images/189267158.jpeg,Laag,/assets/images/191269022.jpeg,Hoog
80,3,/assets/images/187273034.jpeg,Middelmatig,/assets/images/189267114.jpeg,Middelmatig
81,3,/assets/images/176275195.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
82,3,/assets/images/182270019.jpeg,Middelmatig,/assets/images/187277089.jpeg,Middelmatig
83,3,/assets/images/176275195.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
84,3,/assets/images/181277036.jpeg,Middelmatig,/assets/images/182268014.jpeg,Hoog
85,3,/assets/images/183272020.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
86,3,/assets/images/178273039.jpeg,Laag,/assets/images/192274041.jpeg,Middelmatig
87,3,/assets/images/180272041.jpeg,Hoog,/assets/images/184273072.jpeg,Middelmatig
88,3,/assets/images/181277036.jpeg,Middelmatig,/assets/images/183277002.jpeg,Middelmatig
89,3,/assets/images/181265038.jpeg,Hoog,/assets/images/186279088.jpeg,Hoog
90,3,/assets/images/178273039.jpeg,Laag,/assets/images/183272020.jpeg,Hoog
91,3,/assets/images/178273039.jpeg,Laag,/assets/images/183263020.jpeg,Middelmatig
92,3,/assets/images/182262017.jpeg,Middelmatig,/assets/images/183263020.jpeg,Middelmatig
93,3,/assets/images/176275195.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
94,3,/assets/images/183277002.jpeg,Middelmatig,/assets/images/186263044.jpeg,Hoog
95,3,/assets/images/178273039.jpeg,Laag,/assets/images/600483010.jpeg,Laag
96,3,/assets/images/186274160.jpeg,Hoog,/assets/images/190273120.jpeg,Hoog
97,3,/assets/images/188274004.jpeg,Middelmatig,/assets/images/600488624.jpeg,Hoog
98,3,/assets/images/182264049.jpeg,Hoog,/assets/images/185272110.jpeg,Hoog
99,3,/assets/images/182272213.jpeg,Hoog,/assets/images/600097669.jpeg,Hoog
100,3,/assets/images/184275160.jpeg,Middelmatig,/assets/images/187274156.jpeg,Hoog
101,3,/assets/images/183272020.jpeg,Hoog,/assets/images/186273103.jpeg,Hoog
102,3,/assets/images/184273072.jpeg,Middelmatig,/assets/images/600485593.jpeg,Hoog
103,3,/assets/images/181265038.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
104,3,/assets/images/179273020.jpeg,Laag,/assets/images/183263020.jpeg,Middelmatig
105,3,/assets/images/182270019.jpeg,Middelmatig,/assets/images/184278064.jpeg,Laag
106,3,/assets/images/177273181.jpeg,Middelmatig,/assets/images/182274179.jpeg,Middelmatig
107,3,/assets/images/183277002.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
108,3,/assets/images/185274084.jpeg,Hoog,/assets/images/187270060.jpeg,Middelmatig
109,4,/assets/images/181265038.jpeg,Hoog,/assets/images/187274156.jpeg,Hoog
110,4,/assets/images/176275195.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
111,4,/assets/images/180271187.jpeg,Middelmatig,/assets/images/183272020.jpeg,Hoog
112,4,/assets/images/183272020.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
113,4,/assets/images/181265038.jpeg,Hoog,/assets/images/187270060.jpeg,Middelmatig
114,4,/assets/images/180273020.jpeg,Laag,/assets/images/600483010.jpeg,Laag
115,4,/assets/images/182270019.jpeg,Middelmatig,/assets/images/184278064.jpeg,Laag
116,4,/assets/images/184273072.jpeg,Middelmatig,/assets/images/600407759.jpeg,Middelmatig
117,4,/assets/images/180271187.jpeg,Middelmatig,/assets/images/186273081.jpeg,Hoog
118,4,/assets/images/178273039.jpeg,Laag,/assets/images/191274027.jpeg,Middelmatig
